,Month,ET,Year,MonthYr
0,February,19.422786458333334,2021,February 2021
1,March,26.08214285714286,2021,March 2021
2,April,24.246385679753274,2021,April 2021
3,May,27.52645820731643,2021,May 2021
4,June,26.365325191767123,2021,June 2021
5,July,30.06192568172787,2021,July 2021
6,August,31.447170889220068,2021,August 2021
7,September,27.016706973849832,2021,September 2021
8,October,22.272300170068025,2021,October 2021
9,November,17.46887755102041,2021,November 2021
10,December,14.744568637101809,2021,December 2021
11,January,19.967857142857145,2022,January 2022
