,Month,ET,Year,MonthYr
0,March,28.170989639761647,2021,March 2021
1,April,38.01201788105213,2021,April 2021
2,May,41.09615828402367,2021,May 2021
3,June,44.69398644137357,2021,June 2021
4,July,35.012884889327196,2021,July 2021
5,August,42.116696325354866,2021,August 2021
6,September,39.69066657862487,2021,September 2021
7,October,33.378548951048955,2021,October 2021
8,November,28.58671903188387,2021,November 2021
9,December,17.449516687016686,2021,December 2021
10,January,28.07731349217524,2022,January 2022
11,February,29.056757756182634,2022,February 2022
