,Month,ET,newMonth,newET
0,1,25.646050596852923,7,27.987147683875953
1,2,25.856529243043177,8,29.486634043204052
2,3,24.835049165739836,9,29.445562551965722
3,4,24.466729960120773,10,26.6503691260502
4,5,25.383523562848367,11,25.309093986005895
5,6,24.534680277415735,12,21.8684751100547
6,7,27.987147683875953,1,25.646050596852923
7,8,29.486634043204052,2,25.856529243043177
8,9,29.445562551965722,3,24.835049165739836
9,10,26.6503691260502,4,24.466729960120773
10,11,25.309093986005895,5,25.383523562848367
11,12,21.8684751100547,6,24.534680277415735
