,Month,ET,Year,MonthYr
0,February,18.586547716698703,2021,February 2021
1,March,24.00550061050061,2021,March 2021
2,April,22.75250064895734,2021,April 2021
3,May,28.590370405456614,2021,May 2021
4,June,26.74781289871178,2021,June 2021
5,July,30.41293784865789,2021,July 2021
6,August,28.46167266641405,2021,August 2021
7,September,26.077747252747255,2021,September 2021
8,October,21.670512820512823,2021,October 2021
9,November,17.619087463741078,2021,November 2021
10,December,14.274950004727366,2021,December 2021
11,January,17.07811524894858,2022,January 2022
