,Month,NDVI,Year,MonthYr
0,July,0.25907882653061226,2021,July 2021
1,August,0.28098622448979593,2021,August 2021
2,September,0.4097581632653061,2021,September 2021
3,October,0.4394627551020408,2021,October 2021
4,November,0.3788377551020409,2021,November 2021
5,December,0.5523295918367347,2021,December 2021
6,January,0.6782938775510204,2022,January 2022
7,February,0.5132283163265307,2022,February 2022
8,March,0.3574808673469388,2022,March 2022
9,April,0.3151951530612245,2022,April 2022
10,May,0.3488043367346939,2022,May 2022
11,June,0.41170510204081634,2022,June 2022
