"DT","SP"
1920-01-01,0
1920-02-01,0
1920-03-01,0
1920-04-01,0
1920-05-01,0
1920-06-01,0
1920-07-01,0
1920-08-01,0
1920-09-01,0
1920-10-01,0
1920-11-01,0
1920-12-01,0
1921-01-01,0
1921-02-01,0
1921-03-01,0
1921-04-01,0
1921-05-01,0
1921-06-01,0
1921-07-01,0
1921-08-01,0
1921-09-01,0.266279622751025
1921-10-01,0.274803964111765
1921-11-01,0.244422875160661
1921-12-01,0.218212549298007
1922-01-01,0.319446101940006
1922-02-01,0.323326017339711
1922-03-01,0.0279704231538773
1922-04-01,0.0187294458975327
1922-05-01,0.239449603715708
1922-06-01,0.229639786251025
1922-07-01,0.127084901492255
1922-08-01,0.00664954396781724
1922-09-01,0
1922-10-01,0
1922-11-01,0
1922-12-01,0
1923-01-01,0
1923-02-01,0
1923-03-01,0
1923-04-01,0
1923-05-01,0
1923-06-01,0
1923-07-01,0
1923-08-01,0
1923-09-01,0
1923-10-01,0
1923-11-01,0
1923-12-01,0
1924-01-01,0
1924-02-01,0
1924-03-01,0.371399685723299
1924-04-01,0.170892463785711
1924-05-01,0.13702903378867
1924-06-01,0.0127470824087529
1924-07-01,0.109134666148804
1924-08-01,0.221567718189201
1924-09-01,0.0683930612705742
1924-10-01,0.0876810399083703
1924-11-01,0.0108108583909835
1924-12-01,0
1925-01-01,0
1925-02-01,0
1925-03-01,0
1925-04-01,0.291073993761663
1925-05-01,0.375083505387748
1925-06-01,0.63239825542041
1925-07-01,0.63026924800515
1925-08-01,0.464857081448014
1925-09-01,0.559795253586928
1925-10-01,0.432173124614091
1925-11-01,0.434760659774427
1925-12-01,0.694487761105386
1926-01-01,0.709218223970775
1926-02-01,0.821448151423403
1926-03-01,0.906649313769896
1926-04-01,1.15302407140149
1926-05-01,1.21808293584046
1926-06-01,0.1928686856193
1926-07-01,0
1926-08-01,0
1926-09-01,0
1926-10-01,0
1926-11-01,0
1926-12-01,0.0158126509667767
1927-01-01,0
1927-02-01,0
1927-03-01,0
1927-04-01,0
1927-05-01,0
1927-06-01,0
1927-07-01,0
1927-08-01,0
1927-09-01,0
1927-10-01,0
1927-11-01,0
1927-12-01,0
1928-01-01,0
1928-02-01,0
1928-03-01,0
1928-04-01,0
1928-05-01,0
1928-06-01,0
1928-07-01,0
1928-08-01,0
1928-09-01,0
1928-10-01,0
1928-11-01,0
1928-12-01,0.38756487182587
1929-01-01,0
1929-02-01,0
1929-03-01,0
1929-04-01,0
1929-05-01,0
1929-06-01,0
1929-07-01,0
1929-08-01,0
1929-09-01,0
1929-10-01,0
1929-11-01,0
1929-12-01,0
1930-01-01,0
1930-02-01,0
1930-03-01,0
1930-04-01,0
1930-05-01,0
1930-06-01,0
1930-07-01,0
1930-08-01,0
1930-09-01,0
1930-10-01,0
1930-11-01,0
1930-12-01,0
1931-01-01,0.443806274713235
1931-02-01,0.537652856763498
1931-03-01,0.7148971016465
1931-04-01,0.445420853192256
1931-05-01,0.227294749866692
1931-06-01,0.430257787004104
1931-07-01,0.109134666148804
1931-08-01,0.0891939521810409
1931-09-01,0.248502454351914
1931-10-01,0.209694648716896
1931-11-01,0.338661830400274
1931-12-01,0.305068577539834
1932-01-01,0.0855246349045835
1932-02-01,0
1932-03-01,0
1932-04-01,0
1932-05-01,0
1932-06-01,0
1932-07-01,0
1932-08-01,0
1932-09-01,0
1932-10-01,0
1932-11-01,0
1932-12-01,0
1933-01-01,0
1933-02-01,0
1933-03-01,0
1933-04-01,0
1933-05-01,0
1933-06-01,0
1933-07-01,0
1933-08-01,0
1933-09-01,0.0399324418882625
1933-10-01,0.197946740651055
1933-11-01,0.314931412048278
1933-12-01,0.399466563183198
1934-01-01,0.559215668485862
1934-02-01,0.709766251249107
1934-03-01,0.906649313769896
1934-04-01,1.17489352281337
1934-05-01,0.704274481731976
1934-06-01,0.20509716819699
1934-07-01,0.049736199304687
1934-08-01,0
1934-09-01,0
1934-10-01,0
1934-11-01,0
1934-12-01,0
1935-01-01,0
1935-02-01,0
1935-03-01,0
1935-04-01,0
1935-05-01,0
1935-06-01,0
1935-07-01,0
1935-08-01,0
1935-09-01,0
1935-10-01,0
1935-11-01,0
1935-12-01,0
1936-01-01,0
1936-02-01,0
1936-03-01,0
1936-04-01,0
1936-05-01,0
1936-06-01,0
1936-07-01,0
1936-08-01,0
1936-09-01,0
1936-10-01,0
1936-11-01,0
1936-12-01,0
1937-01-01,0
1937-02-01,0
1937-03-01,0
1937-04-01,0
1937-05-01,0
1937-06-01,0
1937-07-01,0
1937-08-01,0
1937-09-01,0
1937-10-01,0
1937-11-01,0
1937-12-01,0
1938-01-01,0
1938-02-01,0
1938-03-01,0
1938-04-01,0
1938-05-01,0
1938-06-01,0
1938-07-01,0
1938-08-01,0
1938-09-01,0
1938-10-01,0
1938-11-01,0
1938-12-01,0
1939-01-01,0
1939-02-01,0
1939-03-01,0
1939-04-01,0
1939-05-01,0
1939-06-01,0
1939-07-01,0
1939-08-01,0
1939-09-01,0
1939-10-01,0
1939-11-01,0
1939-12-01,0
1940-01-01,0
1940-02-01,0
1940-03-01,0
1940-04-01,0
1940-05-01,0
1940-06-01,0
1940-07-01,0
1940-08-01,0
1940-09-01,0
1940-10-01,0
1940-11-01,0
1940-12-01,0
1941-01-01,0
1941-02-01,0
1941-03-01,0
1941-04-01,0
1941-05-01,0
1941-06-01,0
1941-07-01,0.169208039465397
1941-08-01,0.581187691033657
1941-09-01,0.597763431518769
1941-10-01,0.1280271950038
1941-11-01,0.140514012711223
1941-12-01,0.212476787585627
1942-01-01,0.278701519902424
1942-02-01,0.263771682782039
1942-03-01,0.0505248964067519
1942-04-01,0.0825636017645813
1942-05-01,0.331536513505259
1942-06-01,0.272867843703981
1942-07-01,0.254483717166354
1942-08-01,0
1942-09-01,0
1942-10-01,0
1942-11-01,0
1942-12-01,0
1943-01-01,0
1943-02-01,0
1943-03-01,0
1943-04-01,0
1943-05-01,0
1943-06-01,0
1943-07-01,0
1943-08-01,0
1943-09-01,0
1943-10-01,0
1943-11-01,0
1943-12-01,0
1944-01-01,0
1944-02-01,0
1944-03-01,0
1944-04-01,0
1944-05-01,0
1944-06-01,0
1944-07-01,0
1944-08-01,0
1944-09-01,0
1944-10-01,0
1944-11-01,0
1944-12-01,0
1945-01-01,0
1945-02-01,0
1945-03-01,0
1945-04-01,0
1945-05-01,0
1945-06-01,0
1945-07-01,0
1945-08-01,0
1945-09-01,0
1945-10-01,0
1945-11-01,0
1945-12-01,0
1946-01-01,0
1946-02-01,0
1946-03-01,0
1946-04-01,0
1946-05-01,0
1946-06-01,0
1946-07-01,0
1946-08-01,0
1946-09-01,0.0456119179744064
1946-10-01,0
1946-11-01,0
1946-12-01,0
1947-01-01,0
1947-02-01,0
1947-03-01,0
1947-04-01,0
1947-05-01,0
1947-06-01,0
1947-07-01,0
1947-08-01,0
1947-09-01,0
1947-10-01,0
