,datetime,ET,Month
0,2001-01-01,32.87087912087912,1
1,2001-01-09,12.598757763975156,1
2,2001-01-17,10.234502923976608,1
3,2001-01-25,12.717582417582419,1
4,2001-02-02,14.391719745222929,2
5,2001-02-18,13.537222222222224,2
6,2001-02-26,20.042105263157897,2
7,2001-03-06,21.11758241758242,3
8,2001-03-14,22.461538461538463,3
9,2001-03-22,20.20123456790124,3
10,2001-03-30,17.825903614457832,3
11,2001-04-07,20.392134831460677,4
12,2001-04-15,25.586627906976744,4
13,2001-04-23,24.742307692307694,4
14,2001-05-01,26.59013157894737,5
15,2001-05-09,23.5767955801105,5
16,2001-05-17,24.335454545454546,5
17,2001-05-25,27.64,5
18,2001-06-02,28.65561797752809,6
19,2001-06-10,28.345348837209304,6
20,2001-06-18,10.801162790697674,6
21,2001-07-04,22.392090395480228,7
22,2001-07-12,29.814835164835166,7
23,2001-07-20,21.033516483516486,7
24,2001-07-28,30.535714285714285,7
25,2001-08-05,25.195604395604395,8
26,2001-08-13,26.18072289156627,8
27,2001-08-21,26.253846153846155,8
28,2001-08-29,16.523456790123458,8
29,2001-09-06,15.52747252747253,9
30,2001-09-14,20.392307692307696,9
31,2001-09-22,22.961538461538463,9
32,2001-09-30,26.144505494505495,9
33,2001-10-08,23.732417582417582,10
34,2001-10-16,21.677714285714288,10
35,2001-10-24,23.780769230769234,10
36,2001-11-01,22.508208955223882,11
37,2001-11-17,8.4625,11
38,2001-11-25,16.5,11
39,2001-12-03,16.55054945054945,12
40,2001-12-11,17.467032967032967,12
41,2001-12-19,11.8489010989011,12
42,2001-12-27,13.341176470588236,12
43,2002-01-01,12.487719298245615,1
44,2002-01-09,18.340555555555557,1
45,2002-01-17,16.75714285714286,1
46,2002-01-25,14.232432432432432,1
47,2002-02-02,16.920441988950277,2
48,2002-02-10,18.481868131868133,2
49,2002-02-18,20.256043956043957,2
50,2002-02-26,19.28791208791209,2
51,2002-03-06,23.11703296703297,3
52,2002-03-14,24.186813186813186,3
53,2002-03-30,23.727544910179642,3
54,2002-04-07,17.864835164835167,4
55,2002-04-15,21.682967032967035,4
56,2002-04-23,21.79010989010989,4
57,2002-05-01,24.02816091954023,5
58,2002-05-09,24.076666666666668,5
59,2002-05-17,29.394943820224718,5
60,2002-05-25,23.5,5
61,2002-06-02,29.280769230769234,6
62,2002-06-10,26.163736263736265,6
63,2002-06-18,26.498876404494382,6
64,2002-06-26,23.934065934065934,6
65,2002-07-04,28.807586206896556,7
66,2002-07-12,23.700549450549453,7
67,2002-07-20,26.975,7
68,2002-07-28,22.280113636363637,7
69,2002-08-05,26.87802197802198,8
70,2002-08-13,24.324725274725278,8
71,2002-08-21,23.771597633136096,8
72,2002-08-29,24.12481203007519,8
73,2002-09-06,24.32802197802198,9
74,2002-09-14,23.45714285714286,9
75,2002-09-22,19.374301675977655,9
76,2002-09-30,16.66759776536313,9
77,2002-10-08,19.835625,10
78,2002-10-16,19.12087912087912,10
79,2002-10-24,14.530219780219781,10
80,2002-11-01,12.155494505494506,11
81,2002-11-09,15.945054945054947,11
82,2002-11-17,11.483516483516484,11
83,2002-11-25,14.791712707182322,11
84,2002-12-03,13.551149425287358,12
